Acanthaster planci	OKI-Apl_1.0
Acanthisitta chloris	ASM69581v1
Acanthochromis polyacanthus	ASM210954v1
Acanthopagrus latus	fAcaLat1.1
Acinonyx jubatus	Aci_jub_2
Acipenser ruthenus	ASM1064508v1
Acromyrmex echinatior	Aech_3.9
Acropora digitifera	Adig_1.1
Acropora millepora	amil_sf_1.1
Actinia tenebrosa	ASM960242v1
Acyrthosiphon pisum	pea_aphid_22Mar2018_4r6ur
Aedes aegypti	AaegL5.0
Aedes albopictus	Aalbo_primary.1
Aethina tumida	Atum_1.0
Agrilus planipennis	Apla_2.0
Ailuropoda melanoleuca	ASM200744v2
Aipysurus laevis	kmer_49.pilon_x2.sorted
Alligator mississippiensis	ASM28112v4
Alligator sinensis	ASM45574v1
Amblyraja radiata	sAmbRad1.pri
Amphimedon queenslandica	Amphimedon_queenslandica_v1.0
Amphiprion ocellaris	AmpOce1.0
Amyelois transitella	ASM118610v1
Anabas testudineus	fAnaTes1.2
Anarrhichthys ocellatus	GSC_Weel_1.0
Anas platyrhynchos	ZJU1.0
Anguilla anguilla	fAngAng1.pri
Anneissia japonica	ASM1163010v1
Anolis carolinensis	AnoCar2.0
Anopheles albimanus	VT_AalbS3_pri_1.0
Anopheles arabiensis	AaraD3
Anopheles coluzzii	AcolMOP1
Anopheles gambiae	AgamP3
Anopheles stephensi	UCI_ANSTEP_V1.0
Anoplophora glabripennis	Agla_2.0
Anser cygnoides	AnsCyg_PRJNA183603_v1.0
Antrostomus carolinensis	ASM70074v1
Aotus nancymaae	Anan_2.0
Apaloderma vittatum	ASM70340v1
Apalone spinifera	ASM38561v1
Aphis gossypii	ASM401081v1
Apis cerana	ACSNU-2.0
Apis dorsata	Apis_dorsata_1.3
Apis florea	Aflo_1.1
Apis mellifera	Amel_HAv3.1
Aplysia californica	AplCal3.0
Apostichopus japonicus	ASM275485v1
Apostichopus leukothele	ASM1001483v1
Aptenodytes forsteri	ASM69914v1
Apteryx australis	AptMant0
Apteryx rowi	aptRow1
Aquila chrysaetos	bAquChr1.2
Archivesica marissinica	ASM1484369v1
Archocentrus centrarchus	fArcCen1
Argopecten irradians	QAU_Airr_1.1
Artibeus jamaicensis	WHU_Ajam_v2
Arvicanthis niloticus	mArvNil1.pat.X
Arvicola amphibius	mArvAmp1.1
Astatotilapia calliptera	fAstCal1.2
Asterias rubens	eAstRub1.3
Astyanax mexicanus	Astyanax_mexicanus-2.0
Athalia rosae	Aros_2.0
Athene cunicularia	athCun1
Atta cephalotes	Attacep1.0
